key	group	title	doi	doi_url	role
canonical	Canonical theory	A Communication Theory of Computation Realization: Resource-Conditioned Geometry of Legal Realizations and the Safe-Commitment Law	10.5281/zenodo.22048090	https://doi.org/10.5281/zenodo.22048090	Canonical theory and integrated manuscript
foundations	Specialist papers	Computation-Realization Geometry: Semantic Interface Laws, Decision-Sufficient Abstraction, and Cost Duality	10.5281/zenodo.22050676	https://doi.org/10.5281/zenodo.22050676	Foundations, interface laws, observation quotients, and cost duality
rent	Specialist papers	A Generalized Rent Law from Computation-Realization Geometry: Scaling Fixed Points, Hierarchy Phase, and Finite-Scale Diagnostics	10.5281/zenodo.22050605	https://doi.org/10.5281/zenodo.22050605	Scaling theory, hierarchy phase, curvature, and public-netlist diagnostics
design	Specialist papers	Designing with Computation-Realization Geometry: Certified Architecture Selection, Technology Matching, and Reference Physical Realization	10.5281/zenodo.22050638	https://doi.org/10.5281/zenodo.22050638	Certified design, technology matching, and physical realization
closure	Specialist papers	Structural Theorems for Computation-Realization Geometry: Interaction, Safe Commitment, Network Embedding, Conservation, and Scaling	10.5281/zenodo.22050654	https://doi.org/10.5281/zenodo.22050654	Interaction, conservation, embedding, closure, and safe commitment
transformer	Specialist papers	Certified Nonseparable Co-Design of a Long-Context Transformer Superblock: A Computation-Realization Geometry Case Study	10.5281/zenodo.22058422	https://doi.org/10.5281/zenodo.22058422	Finite-registry Transformer co-design case study
